AACG,09-Aug-2021,2.89,2.91,2.86,2.86,47800
AAL,09-Aug-2021,20.76,20.79,20.0601,20.56,32047500
AAME,09-Aug-2021,4.55,4.59,4.4501,4.49,48200
AAOI,09-Aug-2021,7.2,7.61,7.15,7.52,740100
AAON,09-Aug-2021,67.43,69.29,67.31,68.55,208300
AAPL,09-Aug-2021,146.2,146.7,145.52,146.09,48908600
AATC,09-Aug-2021,6.93,6.93,6.76,6.8393,15600
AAWW,09-Aug-2021,71.85,72.7,69.5,72.33,338300
AAXJ,09-Aug-2021,88.48,88.95,88.13,88.56,1080000
ABCB,09-Aug-2021,49.95,50.44,48.461,49.97,512400
ABCL,09-Aug-2021,15.03,16.49,14.98,16.2,1848500
ABCM,09-Aug-2021,20.39,20.42,20.1,20.39,67100
ABEO,09-Aug-2021,1.27,1.33,1.2431,1.28,662400
ABGI,09-Aug-2021,9.72,9.72,9.72,9.72,600
ABIO,09-Aug-2021,3.05,3.12,3.03,3.06,192700
ABMD,09-Aug-2021,345,350,342.95,346.65,224000
ABNB,09-Aug-2021,148.74,151,148.7,149.44,5541900
ABOS,09-Aug-2021,15.11,15.2,14.8,15.04,69900
ABSI,09-Aug-2021,27.24,28.28,26.75,27.55,231900
ABST,09-Aug-2021,14.01,14.17,13.93,13.99,27800
ABTX,09-Aug-2021,37.84,38.46,37.5403,37.89,49700
ABUS,09-Aug-2021,3.07,3.23,3.04,3.09,1765100
ABVC,09-Aug-2021,3.17,3.1765,3.0501,3.1287,6700
ACAD,09-Aug-2021,19.29,19.825,18.94,19.16,2002800
ACB,09-Aug-2021,7.31,7.4,7.0883,7.35,2366800
ACBAW,09-Aug-2021,0.5561,0.5561,0.5561,0.5561,5000
ACBI,09-Aug-2021,25.25,25.57,24.84,25.1,104200
ACCD,09-Aug-2021,48.85,49.08,47.91,48.6,174800
ACER,09-Aug-2021,2.54,2.65,2.51,2.63,348600
ACET,09-Aug-2021,6.94,7.1,6.82,7,232100
ACEV,09-Aug-2021,9.85,9.87,9.85,9.87,68000
ACEVU,09-Aug-2021,10.2001,10.22,10.2001,10.22,2200
ACEVW,09-Aug-2021,0.8,0.8399,0.79,0.8,68800
ACGL,09-Aug-2021,40.56,40.7598,40.235,40.54,1090400
ACGLN,09-Aug-2021,26.06,26.12,25.99,26,50500
ACGLO,09-Aug-2021,26.47,26.4893,26.31,26.31,16700
ACGLP,09-Aug-2021,25.37,25.37,25.33,25.34,22200
ACHC,09-Aug-2021,62.21,62.95,61.77,62.9,292500
ACHL,09-Aug-2021,6.23,6.23,6.01,6.19,16200
ACHV,09-Aug-2021,7.23,7.66,7.2,7.44,44900
ACIU,09-Aug-2021,7.17,7.36,7.16,7.16,99500
ACIW,09-Aug-2021,32.4,32.59,31.81,32.44,844200
ACKIW,09-Aug-2021,0.5821,0.629,0.5821,0.6,10300
ACLS,09-Aug-2021,45.31,45.595,43.88,44.2,204400
ACMR,09-Aug-2021,88.24,95.535,88.1,91.68,610200
ACNB,09-Aug-2021,28.78,28.78,28.07,28.07,15400
ACOR,09-Aug-2021,3.83,3.8501,3.52,3.66,419300
ACQRW,09-Aug-2021,1.29,1.31,1.29,1.31,12200
ACRS,09-Aug-2021,14.94,15.045,14.44,14.6,343700
ACRX,09-Aug-2021,1.23,1.25,1.19,1.2,959100
ACST,09-Aug-2021,0.47,0.4804,0.4661,0.4738,2745500
ACTD,09-Aug-2021,9.72,9.75,9.72,9.75,500
ACTDW,09-Aug-2021,1.2347,1.2347,1.18,1.18,8800
ACTG,09-Aug-2021,5.71,5.99,5.71,5.93,81500
ACVA,09-Aug-2021,23.71,24.1,23.35,23.68,163300
ACWI,09-Aug-2021,103.06,103.145,102.79,103,805700
ACWX,09-Aug-2021,57.15,57.22,57.05,57.12,278800
ACXP,09-Aug-2021,5,5.0891,4.78,4.81,97100
ADAG,09-Aug-2021,17.29,19.755,17.26,18.77,20700
ADAP,09-Aug-2021,3.47,3.61,3.45,3.45,646700
ADBE,09-Aug-2021,634.98,634.98,626.925,629.22,1119100
ADER,09-Aug-2021,9.7,9.71,9.7,9.7,900
ADERW,09-Aug-2021,1.02,1.05,1.02,1.05,4700
ADES,09-Aug-2021,7.61,8.05,7.52,8.01,248800
ADGI,09-Aug-2021,21.7,26.78,21.02,23.06,1522200
ADI,09-Aug-2021,171.06,172.53,169.385,171.31,2580700
ADIL,09-Aug-2021,2.76,2.79,2.66,2.74,282200
ADILW,09-Aug-2021,0.83,0.83,0.7015,0.8213,4900
ADMA,09-Aug-2021,1.6,1.61,1.544,1.55,713900
ADMP,09-Aug-2021,1.03,1.04,1,1.03,2051400
ADMS,09-Aug-2021,5.23,5.32,5.04,5.1,136900
ADN,09-Aug-2021,8.04,8.3,7.9,8.26,141600
ADNWW,09-Aug-2021,1.23,1.25,1.175,1.235,36100
ADOCR,09-Aug-2021,0.3801,0.3999,0.3801,0.3999,5300
ADOCW,09-Aug-2021,0.2925,0.3098,0.28,0.3097,21000
ADP,09-Aug-2021,213.43,213.96,212.285,213.7,1321900
ADPT,09-Aug-2021,35.31,35.95,33.87,35.13,925600
ADRE,09-Aug-2021,52.99,53.4204,52.88,53.2862,10900
ADSK,09-Aug-2021,333.17,333.88,330.29,332.77,763100
