A,09-Aug-2021,156.08,156.8,155.01,156.54,982900
AA,09-Aug-2021,40.45,41.49,39.9,40.53,5634400
AAC,09-Aug-2021,9.74,9.77,9.7,9.72,32400
AAC.U,09-Aug-2021,9.94,9.99,9.94,9.9608,600
AAC.W,09-Aug-2021,1.29,1.3,1.2499,1.29,47900
AAI-B,09-Aug-2021,25.08,25.08,25,25,700
AAI-C,09-Aug-2021,25.05,25.2299,25.05,25.09,2100
AAIC,09-Aug-2021,3.81,3.89,3.81,3.84,70800
AAIN,09-Aug-2021,24.77,24.84,24.725,24.8,17100
AAN,09-Aug-2021,27.46,27.61,26.9,26.98,240800
AAP,09-Aug-2021,205.08,205.65,204.19,204.52,512600
AAQ.U,09-Aug-2021,10.04,10.04,10.04,10.04,200
AAQ.W,09-Aug-2021,1.15,1.15,1.12,1.13,2800
AAQC,09-Aug-2021,9.63,9.66,9.63,9.6568,4100
AAT,09-Aug-2021,38.11,38.11,37.35,37.57,220400
AB,09-Aug-2021,49.75,49.919,48.75,48.75,322900
ABB,09-Aug-2021,36.86,36.8937,36.67,36.71,1159900
ABBV,09-Aug-2021,114.58,115.19,113.74,114.06,5277800
ABC,09-Aug-2021,120.64,121.885,119.2,120.23,627400
ABEV,09-Aug-2021,3.25,3.28,3.2,3.21,36384100
ABG,09-Aug-2021,193,195.79,188.37,193.31,142700
ABM,09-Aug-2021,46.81,46.91,46.31,46.76,186200
ABR,09-Aug-2021,18.28,18.4,18.11,18.22,1158900
ABR-D,09-Aug-2021,25.68,25.68,25.64,25.68,6500
ABT,09-Aug-2021,122.39,123.26,122.03,123.16,4271200
AC,09-Aug-2021,35.71,36.46,35.11,35.62,23700
ACA,09-Aug-2021,50.79,51.41,50.28,50.3,139000
ACC,09-Aug-2021,49.56,49.56,48.87,48.98,381800
ACCO,09-Aug-2021,8.95,8.95,8.76,8.87,227700
ACEL,09-Aug-2021,11.78,11.78,11.42,11.52,95000
ACH,09-Aug-2021,14.95,15,14.87,14.93,44000
ACI,09-Aug-2021,24.26,24.89,23.82,24.79,1519000
ACI.S,09-Aug-2021,10,10.0182,9.97,9.97,2400
ACI.T,09-Aug-2021,1.13,1.141,0.9712,1.02,41600
ACI.U,09-Aug-2021,10.3,10.3,10.3,10.3,1500
ACI.W,09-Aug-2021,1.26,1.29,1.21,1.245,35600
ACIC,09-Aug-2021,9.88,9.92,9.87,9.9,201800
ACII,09-Aug-2021,9.7,9.715,9.7,9.7,5600
ACM,09-Aug-2021,62.37,63.745,62,63.36,874000
ACN,09-Aug-2021,322.01,322.26,319.38,319.52,1225100
ACP,09-Aug-2021,11.38,11.38,11.34,11.36,93300
ACP-A,09-Aug-2021,26.85,26.85,26.67,26.84,6000
ACR,09-Aug-2021,17.4,17.45,16.88,17.09,47200
ACR-C,09-Aug-2021,25.3,25.35,25.25,25.25,10800
ACR-D,09-Aug-2021,25.18,25.18,25.12,25.15,8700
ACR.U,09-Aug-2021,9.97,9.97,9.94,9.94,11900
ACRE,09-Aug-2021,14.57,14.65,14.43,14.57,363300
ACV,09-Aug-2021,35.24,35.88,35.18,35.68,52200
ADC,09-Aug-2021,74.22,74.63,73.7738,74.45,317600
ADCT,09-Aug-2021,26.55,28.23,26.33,27.27,813000
ADF,09-Aug-2021,9.79,9.79,9.79,9.79,1000
ADF.U,09-Aug-2021,10.15,10.15,10.13,10.13,1000
ADF.W,09-Aug-2021,0.74,0.7401,0.71,0.73,14100
ADM,09-Aug-2021,60.28,60.785,59.87,60.56,2585400
ADNT,09-Aug-2021,37.86,39.49,37.47,39.22,1083000
ADS,09-Aug-2021,93.17,93.405,91.35,91.8,606500
ADT,09-Aug-2021,9.23,9.45,9.105,9.14,1867800
ADX,09-Aug-2021,20.34,20.38,20.26,20.34,130100
AEB,09-Aug-2021,26.1,26.2012,26.0343,26.0343,13100
AEE,09-Aug-2021,86.86,87.81,86.86,87.71,1165100
AEFC,09-Aug-2021,27.25,27.27,27.1,27.11,38900
AEG,09-Aug-2021,4.41,4.4399,4.39,4.42,1495700
AEL,09-Aug-2021,32.76,33.28,32.6,33.23,266300
AEL-A,09-Aug-2021,28.47,28.5,28.22,28.28,26800
AEL-B,09-Aug-2021,28.54,28.54,28.3226,28.36,13900
AEM,09-Aug-2021,59.77,60.42,58.86,58.92,1465600
AENZ,09-Aug-2021,1.71,1.84,1.71,1.76,52700
AEO,09-Aug-2021,34.31,34.6,33.31,33.71,3598200
AER,09-Aug-2021,53.44,53.44,51.49,52.48,1215300
AES,09-Aug-2021,24.55,24.59,24.16,24.17,5950500
AESC,09-Aug-2021,104.05,104.05,102.245,102.4356,6800
AEV.W,09-Aug-2021,2.56,2.63,2.47,2.6101,38400
AEVA,09-Aug-2021,9.14,9.33,8.99,9.25,541800
AFB,09-Aug-2021,14.95,14.96,14.94,14.96,59500
AFG,09-Aug-2021,131.9,133.35,130.98,132.83,286200
AFGB,09-Aug-2021,28.3,28.4541,28.19,28.32,5900
AFGC,09-Aug-2021,27.67,27.7749,27.53,27.53,5400
AFGD,09-Aug-2021,29.22,29.22,28.85,28.89,26300
AFGE,09-Aug-2021,27.93,28.07,27.71,27.89,11600
AFI,09-Aug-2021,4.03,4.05,3.96,4.01,75400
AFL,09-Aug-2021,56.14,56.39,55.6,56.11,2191000
AFT,09-Aug-2021,15.94,15.94,15.91,15.93,42100
AG,09-Aug-2021,12.71,12.9192,12.41,12.47,4597000
AGA.U,09-Aug-2021,10.07,10.07,10.06,10.06,10900
AGA.W,09-Aug-2021,0.5899,0.5901,0.572,0.5901,13500
AGAC,09-Aug-2021,9.66,9.67,9.65,9.66,58000
AGCB,09-Aug-2021,9.88,9.92,9.87,9.88,120800
AGCO,09-Aug-2021,134.6,136.46,133.64,135.88,399700
AGD,09-Aug-2021,12.21,12.3,12.14,12.3,63200
AGI,09-Aug-2021,7.57,7.67,7.415,7.5,4229900
AGL,09-Aug-2021,35.45,35.6,34,35.4,303900
AGM,09-Aug-2021,98.65,98.92,97.46,97.93,19300
AGM-D,09-Aug-2021,26.9301,27,26.8,26.9497,8100
AGM-E,09-Aug-2021,27.25,27.25,27.25,27.25,600
AGM-F,09-Aug-2021,27.0901,27.45,27.0901,27.45,1900
AGM-G,09-Aug-2021,26.25,26.3,26.2,26.23,7600
AGO,09-Aug-2021,48.36,48.76,48.13,48.47,429200
AGO-E,09-Aug-2021,27.65,27.65,27.05,27.61,9200
AGO-F,09-Aug-2021,28.1,28.28,27.7827,28.28,23800
AGR,09-Aug-2021,53.08,53.7,52.8301,53.56,373500
AGRO,09-Aug-2021,9.64,9.71,9.57,9.69,620600
AGS,09-Aug-2021,8.43,8.55,8.17,8.2,140900
AGTI,09-Aug-2021,19.09,19.6599,18.87,19.16,77700
AGX,09-Aug-2021,44.77,44.77,44.31,44.52,63400
AHH,09-Aug-2021,13.19,13.19,13,13.04,86400
AHH-A,09-Aug-2021,27.3948,27.4,27.1755,27.1755,1400
AHL-C,09-Aug-2021,27.67,27.74,27.42,27.51,32000
AHL-D,09-Aug-2021,28,28.1,27.98,27.995,7900
AHL-E,09-Aug-2021,27.25,27.25,26.98,27.09,18100
AHT,09-Aug-2021,15.02,15.02,13.82,14.35,3464600
AHT-D,09-Aug-2021,26.05,26.229,25.57,26.229,7800
AHT-F,09-Aug-2021,25.2546,26.37,25.2546,26.35,8700
AHT-G,09-Aug-2021,26,26.23,25.349,26.05,14600
AHT-H,09-Aug-2021,26.15,26.21,25.43,26,6100
AHT-I,09-Aug-2021,26.01,26.35,25.96,26.35,22000
AI,09-Aug-2021,48.75,51.37,48.7,50.7,2003900
AIC,09-Aug-2021,25.52,25.6299,25.52,25.6299,1000
AIF,09-Aug-2021,15.58,15.67,15.48,15.64,64100
AIG,09-Aug-2021,50.67,52.145,50.39,51.85,4388800
AIG-A,09-Aug-2021,27.64,27.68,27.46,27.49,60800
AIN,09-Aug-2021,77.12,77.75,75.97,76.19,159900
AIO,09-Aug-2021,27.5,27.599,27.4001,27.53,45900
AIR,09-Aug-2021,34.09,34.33,33.38,33.66,157200
AIRC,09-Aug-2021,51.51,51.51,50.69,50.78,944200
AIT,09-Aug-2021,87.2,87.22,85.77,86,46500
