#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc.,AAPL,6.26328,152.28,-0.85,(-0.55%)
2,Microsoft Corporation,MSFT,5.962393,303.42,-0.17,(-0.06%)
3,Amazon.com Inc.,AMZN,3.824766,3454.98,33.41,(0.98%)
4,Facebook Inc. Class A,FB,2.378373,379.89,-0.77,(-0.20%)
5,Alphabet Inc. Class A,GOOGL,2.268156,2900.14,8.33,(0.29%)
6,Alphabet Inc. Class C,GOOG,2.160243,2920.79,11.4,(0.39%)
7,NVIDIA Corporation,NVDA,1.47455,224.5,-2.38,(-1.05%)
8,Tesla Inc,TSLA,1.469073,729.55,-1.36,(-0.19%)
10,JPMorgan Chase & Co.,JPM,1.266664,160.03,-0.41,(-0.26%)
11,Johnson & Johnson,JNJ,1.192702,172.95,-0.71,(-0.41%)
12,UnitedHealth Group Incorporated,UNH,1.029514,415.57,-2.73,(-0.65%)
13,Visa Inc. Class A,V,1.020102,228.96,-2.27,(-0.98%)
14,Procter & Gamble Company,PG,0.912622,142.51,-0.42,(-0.29%)
15,Home Depot Inc.,HD,0.907028,326.14,-0.97,(-0.30%)
16,PayPal Holdings Inc,PYPL,0.883794,287.62,-0.86,(-0.30%)
17,Walt Disney Company,DIS,0.852869,181.18,1.2,(0.67%)
18,Adobe Inc.,ADBE,0.830123,662.9,-3.09,(-0.46%)
19,Bank of America Corp,BAC,0.819337,41.81,0.15,(0.35%)
20,Mastercard Incorporated Class A,MA,0.805344,345.31,-7.75,(-2.19%)
21,Comcast Corporation Class A,CMCSA,0.713978,60.67,0.96,(1.60%)
22,Pfizer Inc.,PFE,0.682648,46.04,-0.73,(-1.55%)
23,salesforce.com inc.,CRM,0.667289,264.87,-0.1,(-0.04%)
24,Netflix Inc.,NFLX,0.654737,567.75,1.57,(0.28%)
25,Cisco Systems Inc.,CSCO,0.649931,58.86,-0.27,(-0.46%)
26,Exxon Mobil Corporation,XOM,0.609032,54.74,-0.43,(-0.77%)
27,Verizon Communications Inc.,VZ,0.591373,54.96,0.19,(0.34%)
28,Abbott Laboratories,ABT,0.583608,126.11,0.17,(0.13%)
29,Thermo Fisher Scientific Inc.,TMO,0.572415,553.6,-4.93,(-0.88%)
30,Coca-Cola Company,KO,0.568572,56.28,0.1,(0.18%)
31,Intel Corporation,INTC,0.568054,54.19,0.25,(0.45%)
32,PepsiCo Inc.,PEP,0.562123,156.28,0.28,(0.18%)
33,NIKE Inc. Class B,NKE,0.558724,164.61,-3.42,(-2.04%)
34,Accenture Plc Class A,ACN,0.558686,337.25,0.25,(0.07%)
35,AbbVie Inc.,ABBV,0.554488,120.6,0.03,(0.02%)
36,Eli Lilly and Company,LLY,0.544553,258.8,-3.51,(-1.34%)
37,Danaher Corporation,DHR,0.541397,323.54,-3.47,(-1.06%)
38,Broadcom Inc.,AVGO,0.5304,498.35,-0.55,(-0.11%)
39,Walmart Inc.,WMT,0.528909,147.87,0.17,(0.11%)
40,Costco Wholesale Corporation,COST,0.525559,454.64,-1.29,(-0.28%)
41,Wells Fargo & Company,WFC,0.5212,45.48,-2.94,(-6.06%)
42,AT&T Inc.,T,0.507061,27.39,0.16,(0.57%)
43,Merck & Co. Inc.,MRK,0.505184,76.22,-0.29,(-0.37%)
44,Chevron Corporation,CVX,0.495958,97.23,-1.17,(-1.18%)
45,Medtronic Plc,MDT,0.469855,133.39,-0.46,(-0.34%)
46,Texas Instruments Incorporated,TXN,0.461074,191.27,-0.16,(-0.08%)
47,McDonald's Corporation,MCD,0.460426,237.18,0.59,(0.25%)
48,Qualcomm Inc,QCOM,0.429344,146.97,1.03,(0.70%)
49,NextEra Energy Inc.,NEE,0.428498,83.81,-0.14,(-0.17%)
50,Linde plc,LIN,0.428124,314.19,-1.36,(-0.43%)
51,Oracle Corporation,ORCL,0.423797,89.15,-0.31,(-0.34%)
52,Honeywell International Inc.,HON,0.419969,231.9,0.03,(0.01%)
53,Philip Morris International Inc.,PM,0.418951,103,-0.07,(-0.07%)
54,Morgan Stanley,MS,0.404078,104.36,0.27,(0.26%)
55,Intuit Inc.,INTU,0.403003,564.66,-0.91,(-0.16%)
56,Bristol-Myers Squibb Company,BMY,0.391516,66.88,-0.33,(-0.49%)
57,Citigroup Inc.,C,0.38637,71.98,0.31,(0.43%)
58,Union Pacific Corporation,UNP,0.379562,216.59,-2.5,(-1.14%)
59,Lowe's Companies Inc.,LOW,0.377933,203.98,-1.01,(-0.49%)
60,Goldman Sachs Group Inc.,GS,0.366976,413.63,0.03,(0.01%)
61,United Parcel Service Inc. Class B,UPS,0.36597,195.51,1.5,(0.77%)
62,Starbucks Corporation,SBUX,0.354465,117.32,1.71,(1.48%)
63,Advanced Micro Devices Inc.,AMD,0.352755,110.53,-0.79,(-0.71%)
64,BlackRock Inc.,BLK,0.350373,943.4,-4.68,(-0.49%)
65,American Tower Corporation,AMT,0.345887,291.45,-0.23,(-0.08%)
66,Amgen Inc.,AMGN,0.335861,224.61,0.48,(0.21%)
67,Raytheon Technologies Corporation,RTX,0.335029,84.48,-0.32,(-0.38%)
68,ServiceNow Inc.,NOW,0.330406,642.9,1.25,(0.19%)
